,Abiesconcolor,Acmisponheermanniivarheermannii,Alnusrhombifolia,Angelicatomentosa,Aquilegiaformosa,Arctostaphylospungens,Artemisiadracunculus,Bromuscarinatusvarcarinatus,Calocedrusdecurrens,Carexfracta,Ceanothuspalmeri,Elymuselymoides,Erigeronfoliosusvarfoliosus,Eriogonumwrightiivarmembranaceum,Galiumangustifolium,Lepidiumvirginicum,Lonicerasubspicatavardenudata,Lupinuslatifolius,Muhlenbergiarigens,Penstemonlabrosus,Pinuslambertiana,Pinusponderosa,Pteridiumaquilinumvarpubescens,Quercus,Rhododendronoccidentale,Ribesnevadense,Salixlasiolepis,Scutellariasiphocampyloides,Sisymbriumaltissimum,Thalictrumfendlerivarfendleri
Otu66,898,8,0,1,0,550,57,0,392,5,26,18,1,2186,232,2,76,684,99,216,124,161,1,934,231,1,0,60,0,0
Otu136,0,86,246,72,784,1341,111,276,367,17,68,156,192,31,77,157,134,883,366,342,56,95,192,76,88,160,0,219,7,139
Otu568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6692,1,0,0,0,0
Otu370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6117,0,0,0,0
Otu700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,565,0,0,0,0,15,5141,0
Otu87,0,106,0,15,0,93,478,76,63,35,0,147,153,22,128,0,346,27,132,108,0,92,401,14,55,99,114,62,1679,1192
Otu297,9,155,106,22,413,109,74,0,175,0,1,110,30,0,12,145,113,0,36,79,48,71,0,80,0,110,1119,1531,7,69
Otu65,0,4312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0,0
Otu38101,95,131,324,29,358,57,144,254,100,43,77,91,205,0,139,320,191,17,303,22,153,139,113,69,74,119,315,136,44,132
Otu348,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103
Otu467,0,0,0,0,0,0,342,0,0,69,0,3592,11,0,0,0,4,0,0,0,0,0,0,5,0,0,0,15,0,0
Otu299,0,1366,0,7,0,0,171,0,0,26,1785,16,8,3,0,0,168,0,0,0,0,0,150,74,0,1,0,17,15,164
Otu168,0,0,0,0,0,0,0,0,2,1,0,0,2,3476,0,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0
Otu1704,58,0,546,0,69,4,22,0,0,56,0,1,2,0,31,0,0,0,2152,337,37,1,0,0,0,0,1,3,0,0
Otu3405,0,41,100,31,364,623,49,111,214,6,37,70,72,19,33,73,54,502,137,145,27,43,83,37,29,73,0,113,0,82
Otu35835,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0,0,0,0,0,0
Otu484,0,0,0,0,0,0,2632,0,0,129,1,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu96,0,0,0,0,0,0,0,0,0,0,0,0,2656,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0
Otu137,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Otu1649,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,0
Otu384,0,38,0,0,0,0,329,0,0,1056,0,0,0,607,10,0,98,0,0,0,0,0,0,59,0,0,0,212,0,14
Otu441,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,26,0,0,16,1402,960,0,0,0,0,0,0,5,0
Otu51499,294,2,0,0,0,183,15,0,118,1,14,2,1,737,77,0,17,251,26,80,21,74,0,277,94,0,0,18,0,0
Otu30196,54,78,190,21,174,31,74,124,53,20,46,55,92,0,92,139,111,5,146,7,86,53,70,43,29,59,171,85,28,54
Otu508,190,77,0,0,0,102,5,0,253,0,0,0,2,4,13,0,113,0,190,0,0,59,0,216,186,289,0,2,1,412
Otu582,26,29,7,0,0,55,8,0,6,22,29,121,101,2,44,210,2,946,0,148,119,49,0,103,0,1,0,0,0,86
Otu410,0,0,0,2,0,0,68,0,0,38,0,0,71,0,1150,410,20,0,0,12,0,0,0,0,0,0,0,175,7,0
Otu40369,38,65,167,4,165,22,77,90,40,20,24,41,75,0,81,152,95,16,127,16,81,67,50,54,40,63,158,46,7,64
Otu1584,0,3,0,13,0,4,0,614,2,20,0,0,2,14,6,0,56,0,0,0,0,0,0,0,0,0,0,356,791,8
Otu1093,133,71,0,0,0,141,5,24,256,0,0,1,0,0,0,0,1,319,0,0,0,81,523,12,105,0,0,13,0,126
Otu129,13,40,0,0,343,375,0,0,0,79,0,1,0,6,27,1,0,0,0,0,0,0,823,40,0,0,10,17,0,0
Otu521,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2644,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1730,0,0,0,0,4,0,0,0,0,1,0,2
Otu226,0,0,0,0,0,235,0,0,1,0,0,33,0,0,0,0,0,0,0,0,81,0,182,1192,0,0,0,0,0,0
Otu416,180,11,0,0,0,0,0,0,58,0,41,0,0,32,3,0,32,0,0,0,98,1222,0,19,0,0,0,0,0,0
Otu823,0,6,0,0,0,1048,0,0,3,0,0,1,1,33,370,0,0,0,0,0,0,0,21,54,0,0,0,0,0,0
Otu571,320,0,0,0,0,0,0,0,40,0,0,0,0,7,3,0,0,0,0,0,0,377,0,71,0,0,0,662,1,0
Otu620,0,132,0,0,0,948,11,0,0,0,0,2,0,63,248,0,9,0,0,0,2,0,0,28,0,0,0,0,0,0
Otu1332,0,0,0,0,0,0,60,0,0,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Otu1252,0,0,0,9,0,0,144,0,0,244,0,0,0,17,0,0,24,0,0,847,0,0,1,0,0,0,100,10,0,0
Otu30547,52,35,93,3,85,18,46,105,41,7,27,24,60,0,43,92,59,25,80,13,56,40,38,27,19,48,108,58,13,44
Otu318,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,1166,0,0,0,1,0,0
Otu1117,0,0,0,1,0,0,0,0,0,644,63,4,4,0,30,0,29,0,0,0,303,3,0,61,0,0,0,13,0,101
Otu16294,0,11,0,0,3,54,57,2,47,26,52,399,47,6,77,5,34,177,16,1,11,0,51,52,34,11,17,45,2,8
Otu963,638,3,0,0,0,11,0,0,71,0,0,0,0,55,12,0,0,0,0,0,0,299,0,11,100,12,0,0,0,22
Otu6158,0,384,0,1,0,0,61,0,0,9,549,8,4,1,1,0,51,0,0,0,0,0,74,21,0,0,0,15,1,47
Otu1050,0,0,0,0,0,1,0,0,0,965,0,0,0,0,0,0,0,0,0,112,0,1,49,1,0,0,0,93,0,0
Otu1440,0,32,0,1,0,17,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,931,4,7,0,0,0,0,45
Otu116,0,0,0,0,0,4,0,0,4,0,0,0,0,1104,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu21952,5,29,28,1,100,9,22,0,47,0,0,31,5,0,2,28,21,0,10,23,28,26,0,25,0,10,302,338,2,17
Otu1917,0,0,1,0,0,0,0,0,7,0,0,12,0,67,0,0,0,675,0,0,202,98,0,15,0,0,0,0,0,0
Otu10936,24,3,0,1,0,10,25,448,1,228,6,12,9,0,5,0,12,0,0,0,0,0,0,2,0,0,107,164,17,0
Otu1489,346,3,1,0,0,0,0,0,59,0,0,0,0,11,0,0,0,0,0,0,129,396,6,122,0,0,0,0,0,0
Otu2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0
Otu4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0
Otu423,0,0,0,0,0,0,0,0,0,225,0,0,0,0,30,0,0,0,0,0,109,604,0,0,0,0,0,0,0,0
Otu1052,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,921,0,13,0,0,8,0,5
Otu2314,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,148,0,360,0,0,0,6,0,0,0,0,0,0
Otu54646,25,34,72,3,68,19,24,45,21,6,12,20,39,1,33,62,38,8,59,9,40,38,27,19,18,23,81,37,9,24
Otu1034,0,0,0,0,0,0,0,0,188,0,118,0,5,0,0,0,2,0,0,1,0,2,0,179,384,0,0,0,1,0
Otu82180,123,2,0,0,0,77,6,0,58,0,9,0,1,263,35,0,10,83,4,26,2,19,0,118,38,0,0,1,0,0
Otu745,0,0,0,0,1,180,0,0,354,1,0,0,0,3,0,0,2,0,0,1,1,1,0,330,0,0,0,0,0,0
Otu2427,557,0,0,0,0,5,0,2,3,0,0,0,0,0,10,0,1,0,0,0,140,0,0,6,107,0,0,0,0,42
Otu3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,6,0,0
Otu1468,234,0,0,0,0,0,0,0,32,0,342,0,0,40,0,0,56,0,0,0,0,10,0,122,0,0,0,2,0,0
Otu728,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu4795,4,6,0,3,1,43,88,0,31,10,51,249,33,1,44,3,23,89,8,0,5,0,32,41,10,0,13,25,0,6
Otu3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0
Otu30358,0,10,0,3,0,43,25,5,25,16,29,319,36,1,33,5,28,74,8,0,8,3,33,19,23,1,15,46,0,6
Otu49741,17,27,94,5,64,11,25,22,21,12,7,6,30,0,22,73,38,8,48,2,45,48,25,13,19,18,38,24,9,21
Otu2056,200,30,0,0,0,28,0,0,22,0,0,6,0,5,0,0,44,0,0,0,50,17,0,0,69,276,0,0,0,41
Otu2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,186,231,0,0,0
Otu368,0,0,0,0,0,0,3,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2306,283,0,0,0,0,0,0,0,28,0,0,0,0,8,1,0,0,0,0,0,0,164,0,40,0,0,0,253,0,0
Otu698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0,0,0,0,0,0
Otu1642,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,753,0,0
Otu38551,0,2,2,2,11,13,0,0,20,0,0,15,0,0,1,1,0,0,1,22,0,6,0,21,0,34,214,381,0,1
Otu2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0
Otu2239,243,0,0,0,0,0,0,6,1,0,0,0,1,12,0,0,0,0,0,133,201,54,0,42,21,0,0,0,0,0
Otu38922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,7,385,298,0,0,0,0,0,0,0,0
Otu1237,0,0,0,0,0,0,237,0,0,2,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3418,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,28,0,0,6,214,386,6,19,0,0,26
Otu2344,103,0,0,0,0,99,0,0,11,0,0,0,0,0,0,0,0,0,0,0,356,88,0,13,2,0,0,0,0,22
Otu1849,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu34826,21,21,59,0,49,10,24,33,16,6,6,11,23,0,24,57,48,9,42,0,29,27,22,16,10,17,52,24,5,22
Otu1513,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,623,0,0,0,0,0,57,0,0,0,0,0,0,0
Otu40890,0,0,0,0,0,0,604,0,0,58,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,602,0,0,0,0,0,0
Otu1204,123,6,0,0,0,0,0,0,190,0,27,0,50,8,0,0,55,0,0,0,0,0,0,137,62,0,0,0,0,0
Otu1900,23,0,0,0,0,24,0,0,437,0,0,0,0,0,0,0,0,0,0,0,51,98,0,22,0,0,0,0,0,0
Otu2872,14,7,0,0,0,14,0,0,108,0,0,3,0,1,0,0,0,0,0,0,0,1,326,8,100,50,0,0,0,21
Otu40363,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Otu3107,59,1,0,0,0,267,33,0,2,0,0,29,1,10,3,0,20,0,0,0,0,2,8,60,0,0,0,18,0,110
Otu33013,12,6,3,0,0,10,6,0,2,10,5,42,45,0,6,67,0,235,0,52,41,16,0,32,0,0,0,0,0,33
Otu29556,0,4,0,3,0,59,30,12,6,0,0,6,10,1,26,0,126,5,3,10,0,9,28,2,5,10,10,3,116,129
Otu1155,0,0,0,0,0,24,23,0,52,1,0,0,7,18,0,0,0,0,0,0,67,254,0,115,28,0,0,2,0,4
Otu1455,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,25,0,0,0,0,0,0,0,0,0,0,8,0,0
Otu81378,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Otu1598,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,44,0,0,0,0,0,0,0,18,0,468,0,3
Otu2486,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu14685,4,3,8,2,4,6,107,3,2,2,2,7,4,0,3,9,287,0,5,1,7,6,2,2,0,3,14,11,18,5
Otu1836,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,133,0,0,0,0,0,0,0,0,0
Otu69443,0,0,0,0,0,0,0,0,0,120,0,0,0,1,21,0,0,0,0,0,61,318,0,0,0,0,0,0,0,0
Otu1905,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1890,285,0,0,0,0,4,0,2,8,0,0,0,0,184,1,0,0,0,0,0,0,4,0,21,0,0,0,2,0,0
Otu3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,13,0,0,0,0,0,0,0,0
Otu26262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,101,0,0,0,0,0,0,0,0
Otu19632,32,0,0,0,0,0,0,0,2,0,0,0,1,11,0,0,0,0,0,0,366,77,0,0,5,0,0,0,0,0
Otu1622,237,0,0,0,0,0,0,0,177,0,26,0,0,0,0,0,4,0,0,0,0,0,0,49,0,0,0,0,0,0
Otu11077,0,0,0,1,0,73,46,0,29,8,0,5,55,35,9,0,68,29,0,26,0,1,44,1,2,5,0,54,0,1
Otu61743,0,0,0,4,0,0,54,0,0,95,0,0,0,5,0,0,2,0,0,291,0,0,0,0,0,0,28,2,0,0
Otu83284,16,3,0,0,0,7,3,0,0,6,15,37,35,1,4,54,0,163,0,43,25,8,0,27,0,0,0,0,0,30
Otu1070,106,331,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Otu2548,0,0,0,15,0,18,0,0,29,0,0,9,100,0,9,272,0,0,0,0,0,2,0,6,0,0,0,0,0,0
Otu6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,1,0,0
Otu46896,0,7,0,0,0,0,76,0,0,207,0,0,0,96,1,0,15,0,0,0,0,0,0,12,0,0,0,36,0,3
Otu5220,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0
Otu76446,10,13,47,0,47,7,16,4,16,4,4,2,3,0,29,47,14,0,26,0,21,17,8,10,5,14,24,5,16,20
Otu2665,426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu4991,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,2
Otu33036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,218,193,0,1,0,0,0,0,1,0
Otu2186,0,0,0,6,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,163,0,0,0,0
Otu2555,53,0,0,6,0,30,116,31,7,36,13,9,5,0,31,0,2,3,0,0,0,0,44,10,3,16,0,0,1,2
Otu3936,0,9,0,0,0,114,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,55,23,4,0,126,0,0,0,18
Otu492,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,367,0,0,0,0,0,12
Otu18701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356
Otu22452,256,0,0,0,0,0,0,0,3,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1451,0,0,0,0,0,0,3,0,0,0,0,0,0,0,342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu3597,0,0,0,0,0,0,59,0,0,0,0,286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu53188,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1610,0,0,0,0,0,33,39,0,217,0,0,3,0,15,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
Otu69863,7,9,28,0,42,5,15,15,9,5,3,7,17,0,17,27,10,2,28,1,14,16,8,4,4,4,26,5,1,6
Otu25201,0,23,0,0,0,226,3,0,0,0,0,0,0,10,64,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
Otu54744,0,0,0,0,0,0,0,0,0,61,0,0,0,0,14,0,0,0,0,0,34,223,0,0,0,0,0,0,0,0
Otu6803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,290,0,0,0,0,0,0,31,0,0,0,0,0
Otu3354,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0
Otu1682,0,296,0,0,0,0,0,0,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0
Otu4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu6880,86,0,0,0,0,19,0,0,0,0,0,9,35,0,14,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0
Otu5683,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,274,0,0,0,2,0,0,0,0,0,0,0,0
Otu3321,0,0,0,0,0,52,0,0,8,0,0,10,0,74,0,0,7,0,0,0,0,16,0,31,0,0,0,6,0,74
Otu2836,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu39220,16,0,0,0,0,54,0,0,34,0,0,0,0,5,0,0,1,0,0,0,49,116,0,2,0,0,0,0,0,0
Otu2008,0,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,147,21,0,0,0,0,0,0
Otu38099,5,9,28,3,22,2,8,13,10,1,3,3,13,0,7,12,12,0,33,1,10,3,5,4,6,17,23,4,8,5
Otu3145,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu48953,8,13,20,1,44,3,1,13,9,1,1,3,8,1,13,15,6,4,11,2,12,9,13,7,11,3,11,9,5,11
Otu2424,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5106,1,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,158,0,0,0,28,33,0,23,0,0,0
Otu4964,0,0,0,0,0,0,0,0,44,0,100,0,6,0,0,0,9,0,0,0,0,1,0,1,100,0,0,0,0,0
Otu5608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0
Otu47818,7,5,18,0,16,7,7,1,8,7,1,4,13,0,9,11,4,11,19,2,14,11,11,11,6,13,23,13,1,5
Otu2834,0,0,0,0,0,10,0,0,0,0,0,2,24,220,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu2819,1,0,0,0,0,114,0,0,0,0,0,2,3,7,0,0,1,0,0,0,0,0,45,53,0,0,0,26,0,0
Otu3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0
Otu3668,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu52909,13,3,18,1,18,6,8,0,4,3,2,4,9,0,33,12,5,1,8,2,4,4,59,6,1,4,3,15,0,5
Otu2986,0,0,0,0,0,44,6,7,5,0,0,7,0,4,0,0,1,0,0,0,32,8,0,35,0,97,0,4,0,0
Otu2622,69,0,0,0,0,5,0,0,95,0,0,0,0,28,0,0,7,0,0,0,0,22,0,24,0,0,0,0,0,0
Otu4446,0,0,0,0,0,0,0,0,3,0,0,0,0,191,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu29027,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu29839,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,232,2,0,0,0,0,0,0,0,0,0,0,0
Otu51818,0,0,0,0,0,55,10,0,15,2,0,2,13,2,2,0,47,0,0,2,0,5,34,2,4,5,0,35,0,1
Otu3492,0,0,0,0,0,52,0,0,0,0,5,0,0,5,0,0,113,0,0,0,0,55,0,0,0,0,0,0,0,0
Otu4232,6,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,181
Otu15317,5,17,14,0,45,1,5,0,6,0,0,6,3,0,4,17,19,0,12,0,0,8,0,0,0,4,29,24,0,9
Otu50858,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,222,0,0,1,0,0,0,0
Otu53302,0,22,0,0,0,158,1,0,0,0,0,2,0,9,24,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Otu28398,159,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,19,0,0,0,0,0
Otu5384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
Otu20712,0,0,78,0,0,0,0,1,0,0,0,0,71,2,1,2,2,0,1,0,1,25,1,0,0,1,1,1,30,1
Otu35507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0
Otu1604,0,0,0,0,0,102,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
Otu4517,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0
Otu7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
Otu7313,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5099,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,4,0,1
Otu2595,0,0,0,2,0,0,0,0,4,1,0,0,0,0,33,0,13,0,88,0,0,38,0,31,0,0,0,0,0,0
Otu3745,0,0,0,0,0,4,0,0,60,0,0,0,0,1,0,0,2,0,0,0,0,0,130,0,9,0,0,3,0,0
Otu2081,0,0,0,0,0,0,0,0,83,0,0,0,0,11,8,0,4,0,0,0,0,5,12,62,0,0,0,0,0,23
Otu34631,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,30,0,0
Otu12774,0,0,0,0,0,0,0,0,0,95,105,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Otu3090,0,0,0,0,0,28,93,0,10,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu54033,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,187,0,0,0,0,0,16,0,0,0,0,0,0,0
Otu54923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,105,93,0,0,0,0,0,0,1,0
Otu12473,8,1,0,0,0,49,0,0,25,0,0,0,0,1,0,0,0,0,0,0,21,92,0,2,0,0,0,0,0,0
Otu23238,0,19,0,0,0,17,0,2,98,0,0,3,0,0,0,0,1,2,0,0,0,3,1,3,24,0,0,0,0,25
Otu3003,0,0,0,0,0,0,0,0,14,0,0,10,0,0,48,96,0,0,0,0,0,1,0,29,0,0,0,0,0,0
